"low_dim_rep","iLISI","1-cLISI","f1LISI"
"origin_pca",0.00699006305227903,0.989116547312659,0.0138820221848241
"limma_pca",0.172428350802796,0.989444352481711,0.293678055138516
"fastMNN_pca",0.256305307494162,0.984190816429875,0.406697489775368
"combat_pca",0.0781574467239942,0.984229157673386,0.144815150410699
"scMerge_pca",0.372044433069226,0.889527275980878,0.524652968543661
"scMerge2_pca",0.320933981069358,0.972068907099369,0.482551040038251
